n,resid_R2_iso,resid_R2_iso_ci_low,resid_R2_iso_ci_high,resid_iso_slope_raw,resid_iso_slope_raw_ci_low,resid_iso_slope_raw_ci_high,resid_iso_slope_std,resid_iso_slope_std_ci_low,resid_iso_slope_std_ci_high,resid_iso_intercept_raw,null_R2_shuffled_iso,null_R2_shuffled_iso_ci_low,null_R2_shuffled_iso_ci_high,null_slope_std,null_slope_raw,scope,condition_id,rule,L,rho,horizon
1000,0.314890715691457,0.26982446509411767,0.3648482241179414,-0.8573195959129725,-0.9342421192696528,-0.7863748507595592,-0.5611512413703251,-0.6040265766840437,-0.5194461883181316,720.6182717054572,2.74346589792529e-05,1.0606472914842513e-06,0.00439178320635379,0.0052378105138706325,0.008002259038498329,condition,GoL_L128_rho0.35,GoL,128,0.35,10
1000,0.23603069664892062,0.19037895257024132,0.2855055497631349,-0.772160580861628,-0.8562793456350981,-0.691615006953354,-0.4858299050582627,-0.5343266699159667,-0.4363241135697678,649.0380319220798,0.00024583501647079675,5.19313682409428e-07,0.005425244746935591,0.015679126776410087,0.0249198402836565,condition,GoL_L128_rho0.35,GoL,128,0.35,25
1000,0.235013133724155,0.19709910167786787,0.2829672972795884,-0.8011241885737128,-0.8908734211391698,-0.7173477490556788,-0.484781531954503,-0.5319457556043523,-0.4439583649949617,673.3833344572572,1.996485384503366e-05,7.363617047062565e-07,0.003945216322411497,-0.0044682047675815,-0.007383917667775134,condition,GoL_L128_rho0.35,GoL,128,0.35,50
1000,0.20142626631560623,0.15786476918869297,0.2488332480801578,-0.7674404681242576,-0.8726158084941181,-0.6651332178039594,-0.4488053768791169,-0.4988293958108416,-0.3973197074591009,645.0705506009085,0.00095405918641156,4.279514956728736e-06,0.005314821128638232,0.030887848523514255,0.052817069828959826,condition,GoL_L128_rho0.35,GoL,128,0.35,100
1000,0.16283211662050956,0.12155241764977928,0.20171219831080348,-0.7027059534899118,-0.8006465790893482,-0.5934619596505234,-0.4035246171183482,-0.44912379388889634,-0.3486436790445746,590.658083794038,0.0005093110983507287,1.6382090211819468e-06,0.00447828499651959,0.022567921888174164,0.03930023695199803,condition,GoL_L128_rho0.35,GoL,128,0.35,200
1000,0.3551518551346604,0.30561832076636564,0.40490096365663997,-0.6319897701098335,-0.6861386125596652,-0.5711278048206347,-0.5959461847639105,-0.6363169808045902,-0.5528270893364686,125.26353238461954,0.0008712882272473577,2.3959130278389257e-06,0.004369374881784675,-0.029517591826696405,-0.031302853428183355,condition,GoL_L64_rho0.20,GoL,64,0.2,1
1000,0.24313581584352084,0.20224528231520786,0.28552124635341486,-0.6435896141457726,-0.7127009474559458,-0.5773695120519983,-0.49308804066162554,-0.5343418802697173,-0.4497168598184443,127.56267947176288,0.00028386558365900427,2.8895503756093406e-06,0.0043655444141857975,-0.01684831100315116,-0.021990794915602446,condition,GoL_L64_rho0.20,GoL,64,0.2,5
1000,0.2221018229121653,0.17878646435181048,0.2695123279889714,-0.6515088127567461,-0.7319405300105324,-0.5714582814953675,-0.4712768007362185,-0.519145273032083,-0.4228314794800159,129.13230423245093,0.003939235636408078,9.998223491763938e-07,0.005431083389882303,-0.06276333034828598,-0.08676612720166241,condition,GoL_L64_rho0.20,GoL,64,0.2,10
1000,0.16981348060787804,0.13345586799861012,0.21229620951627545,-0.5924989185504003,-0.6644188794365978,-0.5188359108068303,-0.4120843124991272,-0.4607539757760941,-0.36531539897663984,117.43624815128207,0.0024451070664008867,5.394650270940105e-07,0.004360203870813655,0.04944802388772442,0.07109686000966883,condition,GoL_L64_rho0.20,GoL,64,0.2,25
1000,0.1638952705254706,0.12875262807910623,0.20739944569090485,-0.6064162807080175,-0.6861570035786423,-0.5347822659295038,-0.404839808474254,-0.4554110490477627,-0.3588205594159359,120.19473891773261,9.780034450934671e-05,1.537159490855311e-06,0.00557286658829638,0.00988940567017435,0.014813505192390919,condition,GoL_L64_rho0.20,GoL,64,0.2,50
1000,0.1390902855969648,0.1001052855937477,0.17834767466537282,-0.6032025174519283,-0.6952430936581939,-0.5127307050731811,-0.3729481004066986,-0.42231179492666665,-0.3163894497349764,119.55775497155946,0.00024679387264670005,1.8922320736775023e-06,0.005887095950656665,-0.015709674492067477,-0.025408669977489737,condition,GoL_L64_rho0.20,GoL,64,0.2,100
1000,0.15037881704017186,0.11504092572816271,0.19227138470045096,-0.6426495506981902,-0.7284948318492713,-0.5560513306054145,-0.38778707693806935,-0.4384873157162566,-0.339171347602223,127.37635419613478,0.0004038378616307847,1.2821994175959972e-06,0.0038892677792077184,-0.02009571749479897,-0.03330307941399704,condition,GoL_L64_rho0.20,GoL,64,0.2,200
1000,0.38887248944705854,0.3430514766044107,0.4373980783449298,-0.7975835893991947,-0.8536614210507105,-0.7345155097795854,-0.623596415518129,-0.6613607617952542,-0.5857059208131137,176.9104207974566,5.692094078113552e-05,1.9714966451478417e-06,0.0042128659709873475,-0.007544596793805048,-0.009649584958523175,condition,GoL_L64_rho0.25,GoL,64,0.25,1
1000,0.28942002486153096,0.23401251929518246,0.33413898863663183,-0.6975319890306825,-0.7693930668938364,-0.6248174674962127,-0.5379777178113713,-0.5780475660396478,-0.4837448473039432,154.71817542291768,0.0007973708751598529,1.7111831818766858e-06,0.005776390759930322,-0.02823775619909989,-0.036612554005866514,condition,GoL_L64_rho0.25,GoL,64,0.25,5
1000,0.28226630285592935,0.23839189933578328,0.32961507883065344,-0.728206086866952,-0.8017882471423674,-0.656386604017062,-0.5312874013713571,-0.5741207598451863,-0.48825386494143047,161.52193571578488,0.0012237700245278926,3.336609639267852e-06,0.005832605124387521,0.03498242450899757,0.04794846328947615,condition,GoL_L64_rho0.25,GoL,64,0.25,10
1000,0.2332952827963043,0.1844475139615319,0.2817765926721236,-0.6743201608756044,-0.752210108768868,-0.5952467564389712,-0.4830065038861326,-0.5308238520452658,-0.4294727756123017,149.56960624349605,0.0011215263771071626,1.0383435623428918e-06,0.005347149605885602,-0.033489197916748474,-0.0467539073389799,condition,GoL_L64_rho0.25,GoL,64,0.25,25
1000,0.18041180568318738,0.1403079438485261,0.23338241381082492,-0.6457671786512449,-0.7331511196646426,-0.5622058011821287,-0.42474910910228825,-0.4830964749294452,-0.37457699969084385,143.2363263622753,0.007743658877509385,4.513380493204045e-07,0.004258948872414816,0.08799806178268552,0.13378782642837245,condition,GoL_L64_rho0.25,GoL,64,0.25,50
1000,0.199015989740566,0.15230934047562347,0.24891953860362584,-0.7205240284931373,-0.8165498682788301,-0.6275311372270416,-0.44611208203832176,-0.49891770800199997,-0.390261967395377,159.81799371200583,0.0015552786134528374,7.787372750450716e-07,0.004791755292344342,0.039437020849107315,0.06369547537052744,condition,GoL_L64_rho0.25,GoL,64,0.25,100
1000,0.19444671188431006,0.14958083408081121,0.2402679385946915,-0.7141518435059144,-0.7982355852491182,-0.6278590620314474,-0.44096112287174527,-0.4901706837579252,-0.3867552560456609,158.4045921043599,8.2032195424242e-05,3.102686722183945e-07,0.004832655471751656,0.009057162658606463,0.014668389284417794,condition,GoL_L64_rho0.25,GoL,64,0.25,200
1000,0.4176779708026169,0.3646425882328354,0.46674884491028656,-0.9479236510920792,-1.0151719995157154,-0.8737288271889367,-0.6462801024343988,-0.6831901779488947,-0.6038556762419088,212.645816802184,0.00048800005445115424,1.389521138439598e-06,0.004238183422493054,0.02209072326681747,0.032401305525992026,condition,GoL_L64_rho0.30,GoL,64,0.3,1
1000,0.3155347866042102,0.2664229121093504,0.3556606733779599,-0.7744278717201445,-0.8382750382563271,-0.6981374632397045,-0.5617248317496834,-0.5963729040584427,-0.51616137824302,173.72585560723658,0.0003487077810480077,1.5859776161614162e-06,0.004674026793307706,-0.018673718993494914,-0.02574471990527317,condition,GoL_L64_rho0.30,GoL,64,0.3,5
1000,0.2806554144013067,0.23148913330782547,0.32642622938542304,-0.7128127832139587,-0.8004561003650011,-0.6302202212844337,-0.5297692086194765,-0.5713372274385562,-0.48113277219371015,159.90386603282093,0.0028538210832718125,2.800880758202507e-06,0.004319753293701391,0.053421166996537026,0.07187901846649389,condition,GoL_L64_rho0.30,GoL,64,0.3,10
1000,0.2759874349623964,0.23078472232331823,0.3218345732070502,-0.8195924431828787,-0.8992149219138889,-0.7409645710411471,-0.5253450627562767,-0.5673042123517184,-0.48040058264099617,183.85753359432877,0.00013349533048923057,6.14542456775502e-07,0.00626764730946602,-0.011554017937029653,-0.018025458809693157,condition,GoL_L64_rho0.30,GoL,64,0.3,25
1000,0.24323813316537934,0.19533795728989792,0.2875963669889616,-0.7708830762218998,-0.8529833630194913,-0.6747040151118733,-0.49319178132383684,-0.5362794950263172,-0.44197012013984044,172.93065872270637,0.0004120714033172268,1.8223413029871966e-06,0.004613346300253345,0.020299541948459048,0.031729185148056026,condition,GoL_L64_rho0.30,GoL,64,0.3,50
1000,0.25452435416601893,0.20816029812119688,0.30511909651700053,-0.8280432340231019,-0.9186222688318457,-0.7474256487820867,-0.5045040675415997,-0.5523753465848918,-0.45624584203351015,185.7532826019344,0.0007143352425830196,1.8006641310658324e-06,0.005411814766975369,-0.026727050764777344,-0.0438671459261149,condition,GoL_L64_rho0.30,GoL,64,0.3,100
