condition_id,rule,L,rho,horizon,n,real_R2,real_R2_ci_low,real_R2_ci_high,real_slope_raw,real_slope_raw_ci_low,real_slope_raw_ci_high,iso_shuffle_R2,iso_shuffle_R2_ci_low,iso_shuffle_R2_ci_high,iso_shuffle_slope_raw,iso_shuffle_slope_raw_ci_low,iso_shuffle_slope_raw_ci_high,target_shuffle_R2,target_shuffle_R2_ci_low,target_shuffle_R2_ci_high,target_shuffle_slope_raw,target_shuffle_slope_raw_ci_low,target_shuffle_slope_raw_ci_high
GoL_L64_rho0.25,GoL,64,0.25,10,1000,0.28226630285592935,0.2400348392376558,0.3288691393943297,-0.728206086866952,-0.7967173466263121,-0.6499300254070948,0.0003425823963252306,5.930721572205977e-07,0.004608863469044903,0.025369231339425122,-0.07277847530716591,0.08815041047821585,0.0004583618496448727,3.990976027212767e-07,0.0049361884510467765,-0.02949563442269471,-0.07573420595002481,0.09243903821909122
GoL_L64_rho0.25,GoL,64,0.25,25,1000,0.2332952827963043,0.18768990541648595,0.2798478101938822,-0.6743201608756044,-0.7449629463329358,-0.6010820002261831,0.0001705927490627257,3.068016390081474e-06,0.0049062406810275955,0.018234482801355912,-0.08826723792704722,0.0891780315622474,0.00015901136132556726,7.809622232957115e-07,0.004768311233660059,-0.01757807390842659,-0.08843748064493265,0.09321440151252704
GoL_L64_rho0.25,GoL,64,0.25,50,1000,0.18041180568318738,0.14490009288249706,0.2338187837069168,-0.6457671786512449,-0.7480335876284178,-0.567670888682556,0.002676730133151395,3.0578034988570923e-06,0.004891957319962594,-0.07865852267448573,-0.08878111997499687,0.09531295207047802,0.0008857732444202959,1.32488729905067e-06,0.005957585545149565,-0.04527876826040184,-0.10026359583529815,0.10016737429693992
GoL_L64_rho0.25,GoL,64,0.25,100,1000,0.199015989740566,0.15225697639105518,0.2478158925191534,-0.7205240284931373,-0.8122234687494744,-0.6254557676072645,0.0006658818227287533,1.218522025639435e-06,0.005001513083328085,-0.04167763462049646,-0.10772605915240435,0.091968380568314,0.0022113273809022393,5.864967414975775e-07,0.004804885816333082,0.07607152575529691,-0.09967309022814642,0.11098432000413509
GoL_L64_rho0.25,GoL,64,0.25,200,1000,0.19444671188431006,0.1546034183250784,0.2436285827588381,-0.7141518435059144,-0.8030296902230412,-0.6329499290506245,0.0012687833745658184,3.7597819021267803e-06,0.005491167024312562,-0.05768780299827231,-0.10897719324487476,0.09630248546797593,0.00091458305469172,2.732614958605995e-06,0.0050660840240681765,0.04913186952129644,-0.09098136298927763,0.10034825097975376
GoL_L64_rho0.30,GoL,64,0.3,1,1000,0.4176779708026169,0.36127717441969265,0.4623587482760442,-0.9479236510920792,-1.0035970133514143,-0.8747126952532533,0.005422666462037262,1.1830607785506821e-06,0.004934349798454992,0.10800877000674035,-0.08447723209249389,0.09480626594463953,2.5320709145182363e-05,1.6317260590037468e-06,0.0045660431166597544,-0.007623484123221401,-0.09810635154828137,0.08191699036990593
GoL_L64_rho0.30,GoL,64,0.3,5,1000,0.3155347866042102,0.27234187618606687,0.3601765084152878,-0.7744278717201445,-0.8454371290623339,-0.7007771788236911,0.0014235411537167897,6.782288631657086e-07,0.004198553880909529,0.052016648364027016,-0.07463667643879825,0.07935765234155975,0.002236349556935302,1.5265169804351554e-06,0.004700569309198864,0.06670134952187706,-0.08626759023170637,0.08845715777545365
GoL_L64_rho0.30,GoL,64,0.3,10,1000,0.2806554144013067,0.23216977396726815,0.3242664757135285,-0.7128127832139587,-0.782691943717099,-0.639137836621831,0.0009163183670003461,7.366400873870528e-07,0.005142966830307461,-0.04072977049207681,-0.08789926149312448,0.08261033176241896,0.008273616305813247,1.4239211148653345e-06,0.004513953023202584,0.12589969162384074,-0.08075648779928979,0.08314163967319389
GoL_L64_rho0.30,GoL,64,0.3,25,1000,0.2759874349623964,0.23308244002195785,0.3261766092492846,-0.8195924431828787,-0.9038425978585237,-0.7425706829860069,0.0008784905446940217,8.352256958749083e-07,0.004220730295034233,-0.046240427029588645,-0.09368483173915541,0.08959880552873205,0.0007037097519101421,3.1840525302334614e-06,0.0045582256690840815,0.042022419157548875,-0.10519991126982148,0.0892864315300305
GoL_L64_rho0.30,GoL,64,0.3,50,1000,0.24323813316537934,0.19874888852380762,0.28505426212372176,-0.7708830762218998,-0.8556462801460893,-0.689359611305181,0.0005326065677920822,7.411414526037331e-07,0.004305316798121848,-0.036072474858484894,-0.09024043267135343,0.08873452578044236,0.00036304058454350585,9.986152426727513e-07,0.005106721803269651,0.029911960664234252,-0.09582311562843143,0.09800075349216299
