condition_id,rule,L,rho,mechanism,n,y_resid_sd,amplitude,intercept,within_condition_R2_z,within_condition_corr_z,raw_R2_from_mechanism_score
HighLife_L64_rho0.20,HighLife,64,0.2,local_window_loss,1000,17.54933974352559,17.574583589317438,3.591177689033002e-14,0.5030334339157242,0.7092492310715178,0.5030344717755395
HighLife_L64_rho0.20,HighLife,64,0.2,local_window_delta_loss_gain,1000,17.54933974352559,17.587408712853073,3.5724567018760636e-14,0.5321303256940386,0.7294743442386257,0.5321328189023729
HighLife_L64_rho0.20,HighLife,64,0.2,fate_all,1000,17.54933974352559,17.68035316527598,3.5717458326005454e-14,0.5393928916091927,0.7344538863542505,0.5394225111808622
HighLife_L64_rho0.25,HighLife,64,0.25,iso_count,1000,21.659172037348817,21.690327670938764,-3.768528425671602e-14,0.3806006954640788,0.6169290726820771,0.3806014807203675
HighLife_L64_rho0.25,HighLife,64,0.25,local_window_loss,1000,21.659172037348817,21.690327670957767,-3.770454913766949e-14,0.5432183731966406,0.7370342556259661,0.5432194939661223
HighLife_L64_rho0.25,HighLife,64,0.25,local_window_delta_loss_gain,1000,21.659172037348817,21.704714122380295,-3.764665227292326e-14,0.5616086823584576,0.7494072023645348,0.5616111549558389
HighLife_L64_rho0.25,HighLife,64,0.25,fate_all,1000,21.659172037348817,21.78249425396231,-3.7336551750670664e-14,0.5660093816980661,0.7523480075908119,0.5660275245258641
HighLife_L64_rho0.30,HighLife,64,0.3,iso_count,1000,24.757879348923133,24.793492317687914,-8.680128779637188e-15,0.386512246662727,0.6217017324374624,0.38651304411574205
HighLife_L64_rho0.30,HighLife,64,0.3,local_window_loss,1000,24.757879348923133,24.7698446592666,-8.944633357622679e-15,0.5558172416277856,0.7455316031704136,0.555817371325847
HighLife_L64_rho0.30,HighLife,64,0.3,local_window_delta_loss_gain,1000,24.757879348923133,24.809030425401822,-8.856076328450487e-15,0.5659132113903302,0.752273631793209,0.5659156170913447
HighLife_L64_rho0.30,HighLife,64,0.3,fate_all,1000,24.757879348923133,24.879073905382608,-9.208633855450899e-15,0.5724997395002138,0.7566461030386449,0.5725133252435677
HighLife_L64_rho0.35,HighLife,64,0.35,iso_count,1000,25.902966829565397,25.94022694928126,1.3391535233910134e-13,0.3394539454866782,0.582627364486848,0.3394546458488905
HighLife_L64_rho0.35,HighLife,64,0.35,local_window_loss,1000,25.902966829565397,25.940226949308975,1.3405358963777263e-13,0.48872820596314237,0.6990917066511206,0.48872921430837646
HighLife_L64_rho0.35,HighLife,64,0.35,local_window_delta_loss_gain,1000,25.902966829565397,25.956210559907458,1.3366193148783615e-13,0.5084077720284579,0.7130286889825376,0.5084099113121563
HighLife_L64_rho0.35,HighLife,64,0.35,fate_all,1000,25.902966829565397,26.214446548791198,1.3342932979037848e-13,0.52342392891773,0.723531503937993,0.5234978371907741
