split_type,heldout,model,n_train,n_test,n_features,test_R2,test_corr_pred_target,mean_prediction,features
leave_rule,rule=GoL,class_counts_plus_losses,8000,8000,30,0.3746376273264812,0.6129414778739396,-0.9841407207907862,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=HighLife,iso_count,8000,8000,1,0.002453602893172202,0.049619465550063,0.003945669341499979,iso_count
leave_rule,rule=HighLife,local_window_loss,8000,8000,1,0.008850113879346866,0.09415592780076883,0.020757657189647033,iso_local_window_loss_sum
leave_rule,rule=HighLife,local_window_delta_loss_gain,8000,8000,3,0.044775916669823945,0.2152431567612817,0.6778591056767409,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=HighLife,fate_core,8000,8000,4,0.024786176023623763,0.1577645907233163,-0.02314028399330482,"iso_die,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any"
leave_rule,rule=HighLife,fate_all,8000,8000,8,0.404221553736146,0.6368161292267448,1.2728743285631594,"iso_die,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
leave_rule,rule=HighLife,class_counts,8000,8000,15,0.007568287974124677,0.08840042135633004,0.010065734531523731,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count"
leave_rule,rule=HighLife,class_losses,8000,8000,15,0.014635906088737882,0.12153091068545384,0.012327233396757948,"class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_rule,rule=HighLife,class_counts_plus_losses,8000,8000,30,0.3934281990461518,0.6278542193536673,0.970435503441038,"class_01_count,class_02_count,class_03_count,class_04_count,class_05_count,class_06_count,class_07_count,class_08_count,class_09_count,class_10_count,class_11_count,class_12_count,class_13_count,class_14_count,class_15_count,class_01_loss,class_02_loss,class_03_loss,class_04_loss,class_05_loss,class_06_loss,class_07_loss,class_08_loss,class_09_loss,class_10_loss,class_11_loss,class_12_loss,class_13_loss,class_14_loss,class_15_loss"
leave_condition,GoL_L128_rho0.20,iso_count,15000,1000,1,0.003850199010134725,0.5547003122329228,-1.4158759631047884,iso_count
leave_condition,GoL_L128_rho0.20,local_window_loss,15000,1000,1,0.011883092147946472,0.6937222731926327,-3.006615638524722,iso_local_window_loss_sum
leave_condition,GoL_L128_rho0.20,local_window_delta_loss_gain,15000,1000,3,-0.12259929059122365,0.5327380975169229,-17.590750900668215,"iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum"
