scope,rule,horizon,model,n_conditions,mean_R2,min_R2,max_R2,mean_corr,mean_shuffle_R2,frac_R2_positive
rule_horizon,GoL,200,iso_plus_class_counts,8,0.2020526539158664,0.1405780991331783,0.26325282288720775,0.4497198258057915,0.011914425639314441,1.0
rule_horizon,HighLife,1,class_counts,8,0.37942993448723644,0.3403582977422831,0.41073065138823295,0.6157387323029011,0.010755605450226843,1.0
rule_horizon,HighLife,1,iso_count,8,0.35535142178191803,0.3274819442857346,0.386512246662727,0.595787600230701,0.0005588269814518904,1.0
rule_horizon,HighLife,1,iso_plus_class_counts,8,0.37879400015505055,0.339717517446014,0.41007934196377205,0.6156646908666561,0.01080829311206244,1.0
rule_horizon,HighLife,5,class_counts,8,0.2904698622423277,0.19733708633335134,0.3635590054586434,0.5369593724273919,0.01086495557679587,1.0
rule_horizon,HighLife,5,iso_count,8,0.2744163687527161,0.1874279483700535,0.3326060254193889,0.5212920798867839,0.000345478802502297,1.0
rule_horizon,HighLife,5,iso_plus_class_counts,8,0.2899339222362926,0.19502270164543922,0.3630081632550506,0.5368358012417423,0.010906560045407257,1.0
rule_horizon,HighLife,10,class_counts,8,0.2703907552245521,0.18955553039278072,0.3382818636791839,0.5182608868885112,0.012887351777744763,1.0
rule_horizon,HighLife,10,iso_count,8,0.2537870764051725,0.17754227311564208,0.3154390325171984,0.5012387676382264,0.0005096993107483044,1.0
rule_horizon,HighLife,10,iso_plus_class_counts,8,0.26956707486422077,0.18657412370607196,0.33777680393659804,0.5180357464122956,0.012944824743151548,1.0
rule_horizon,HighLife,25,class_counts,8,0.24143118925514895,0.1427129575345134,0.30375807761911866,0.4882621267247539,0.010759142554746443,1.0
rule_horizon,HighLife,25,iso_count,8,0.2249527826421984,0.1381083665496965,0.2831845009444479,0.47050486780599937,0.00036575624076772006,1.0
rule_horizon,HighLife,25,iso_plus_class_counts,8,0.24097109293497546,0.14115337643833337,0.3044974800143392,0.4881269560855663,0.010799140128863821,1.0
rule_horizon,HighLife,50,class_counts,8,0.21293640335604191,0.12441323013346306,0.2839005544005936,0.458903124295023,0.011830220751969711,1.0
rule_horizon,HighLife,50,iso_count,8,0.19838689509304763,0.11894572916055068,0.2582599113396906,0.44141134886332273,0.0011121058652088511,1.0
rule_horizon,HighLife,50,iso_plus_class_counts,8,0.21277365684821048,0.1267370900131416,0.28464104688580516,0.45870590687746493,0.011950512558227572,1.0
rule_horizon,HighLife,100,class_counts,8,0.18478248255663188,0.12955514720319394,0.2527366907454255,0.4288097593809885,0.012419452063892444,1.0
rule_horizon,HighLife,100,iso_count,8,0.16882000736282915,0.12513017454101938,0.23843363098177817,0.40842513907135725,0.0008319171171495832,1.0
rule_horizon,HighLife,100,iso_plus_class_counts,8,0.183441227236001,0.13192064345590349,0.253502584023261,0.42851312831305377,0.01249504097271803,1.0
