sample_id,condition_id,rule,L,rho,live_count,density,block_var,block_entropy,components_t0,components_t1,fine_net_1,iso_count,iso_die,iso_survive,iso_survive_isolated,iso_survive_connected,iso_orth_birth_any,iso_diag_birth_any,iso_local_window_delta_sum,iso_local_window_loss_sum,iso_local_window_gain_sum
6171,GoL_L128_rho0.30,GoL,128,0.3,4974,0.3035888671875,0.0032985061407089233,1.404937913002256,2063,1245,-818,846,460,386,62,324,691,457,-1784,1821,37
6172,GoL_L128_rho0.30,GoL,128,0.3,4856,0.29638671875,0.003286123275756836,1.4247825121544355,2100,1189,-911,877,478,399,42,357,736,494,-1959,2003,44
6173,GoL_L128_rho0.30,GoL,128,0.3,4960,0.302734375,0.0030765533447265625,1.3424984635805606,2119,1260,-859,923,495,428,56,372,759,548,-1933,1989,56
6174,GoL_L128_rho0.30,GoL,128,0.3,4882,0.2979736328125,0.002999052405357361,1.3582372795227629,2115,1240,-875,910,504,406,59,347,750,512,-1844,1899,55
6175,GoL_L128_rho0.30,GoL,128,0.3,4880,0.2978515625,0.0030603408813476562,1.3690664283548184,2151,1222,-929,952,518,434,70,364,793,564,-2002,2070,68
6176,GoL_L128_rho0.30,GoL,128,0.3,4778,0.2916259765625,0.003441914916038513,1.3662782835307163,2090,1172,-918,866,474,392,50,342,724,477,-1875,1929,54
6177,GoL_L128_rho0.30,GoL,128,0.3,4809,0.29351806640625,0.003224547952413559,1.3122923951114802,2083,1211,-872,885,509,376,52,324,724,493,-1845,1892,47
6178,GoL_L128_rho0.30,GoL,128,0.3,4901,0.29913330078125,0.0029541514813899994,1.310381991330499,2150,1206,-944,941,530,411,52,359,788,553,-2080,2123,43
6179,GoL_L128_rho0.30,GoL,128,0.3,4891,0.29852294921875,0.003238823264837265,1.39191440755198,2130,1212,-918,960,519,441,65,376,788,552,-2080,2118,38
6180,GoL_L128_rho0.30,GoL,128,0.3,4935,0.30120849609375,0.0032532773911952972,1.3312746192559612,2155,1168,-987,918,496,422,47,375,762,511,-2042,2086,44
6181,GoL_L128_rho0.30,GoL,128,0.3,4919,0.30023193359375,0.0034667812287807465,1.4148648065136167,2130,1250,-880,940,516,424,68,356,757,508,-1936,1996,60
6182,GoL_L128_rho0.30,GoL,128,0.3,4937,0.30133056640625,0.002866920083761215,1.2875288464166668,2030,1259,-771,844,447,397,69,328,681,494,-1599,1679,80
