condition_id,rule,L,rho,horizon,n,resid_R2_iso_embedded,delta_R2_iso_embedded,resid_R2_singleton_comp,delta_R2_singleton_comp,resid_R2_small_comp_2,delta_R2_small_comp_2,resid_R2_small_comp_3,delta_R2_small_comp_3,resid_R2_small_comp_4,delta_R2_small_comp_4,resid_R2_small_comp_le4,delta_R2_small_comp_le4,resid_R2_orth_deg0,delta_R2_orth_deg0,resid_R2_orth_deg0_diag0,delta_R2_orth_deg0_diag0,resid_R2_orth_deg0_diag_ge1,delta_R2_orth_deg0_diag_ge1,resid_R2_moore_deg0,delta_R2_moore_deg0,resid_R2_moore_deg1,delta_R2_moore_deg1,resid_R2_moore_deg2,delta_R2_moore_deg2,resid_R2_boundary_cell,delta_R2_boundary_cell,resid_R2_component_count_t0,delta_R2_component_count_t0,resid_R2_block_var,delta_R2_block_var,resid_R2_block_entropy,delta_R2_block_entropy
GoL_L128_rho0.30,GoL,128,0.3,200,1000,0.20752197593795219,0.20716880990286368,0.23095497560999423,0.24609003637466853,0.03344983983916694,0.03386128994288662,0.025834108706737302,0.025775367032918606,0.003434766359131425,0.0034252858768439864,0.3403936363285113,0.3679697892349755,0.23095497560999423,0.24609003637466853,0.008101485485897841,0.009762326197597204,0.20752197593795219,0.20716880990286368,0.008101485485897841,0.009762326197597204,0.041224966004634656,0.04612531371366624,0.04913027178728713,0.05106669248234674,0.0002765360142417128,0.019563664114767287,0.3796504472193143,0.3852943164858892,0.014745303190477066,0.014731557992265776,0.01904437084338051,0.019292755090249414
GoL_L128_rho0.35,GoL,128,0.35,1,1000,0.3573187636073034,0.32597255040316175,0.2930562266803346,0.3007394330900309,0.026592701661906304,0.024816050439605775,0.06942406823775549,0.06046275212073704,0.03692050594394247,0.0321724633110021,0.401944290322209,0.44824088937233764,0.2930562266803346,0.3007394330900309,0.007440214901231812,0.00791153016695434,0.3573187636073034,0.32597255040316175,0.007440214901231812,0.00791153016695434,0.00033460867207202316,0.00038984205194836363,0.14551390854332158,0.1267306184955228,0.001312520288276442,0.03473790531898302,0.46003832825011215,0.4722665864618383,0.007579507646326977,0.006567917230934306,0.009961668462784012,0.008687438420623916
GoL_L128_rho0.35,GoL,128,0.35,5,1000,0.3268221991286614,0.3089753565896367,0.2962428551311843,0.31504630786368204,0.036467405385373186,0.03526648315092262,0.03508262674638829,0.03166336307803397,0.012200838798368863,0.011017763502393585,0.36250753645235045,0.41893797926293885,0.2962428551311843,0.31504630786368204,0.00030798865824555044,0.00033938826272805755,0.3268221991286614,0.3089753565896367,0.00030798865824555044,0.00033938826272805755,0.028785736971817744,0.03475489101456264,0.04770781294683779,0.04305797907914455,0.00033511246895656654,0.009191264745580519,0.42658856015495406,0.4538261263958039,0.015003239532062174,0.013472829229931982,0.009887976120740438,0.008936226144465875
GoL_L128_rho0.35,GoL,128,0.35,10,1000,0.31813749381879775,0.29898692175930097,0.28872855788552965,0.30523989361145365,0.03014316678862783,0.028978186755999058,0.01965144945730135,0.01763130949327618,0.018093505830996892,0.016242449447313678,0.33699245325329397,0.3871487943148021,0.28872855788552965,0.30523989361145365,0.00027225738003611166,0.0002982406231561985,0.31813749381879775,0.29898692175930097,0.00027225738003611166,0.0002982406231561985,0.012539714057737905,0.01505051129003776,0.04891294418015568,0.04388468461579653,0.0005924325062260927,0.016152829549981984,0.389946015496449,0.4123916077355513,0.008729403526226531,0.007792617760600806,0.004647267758997264,0.0041751249733138485
GoL_L128_rho0.35,GoL,128,0.35,25,1000,0.29054789403089254,0.27440311540194384,0.2710500818798601,0.28796192235420337,0.038137174679966135,0.036843833914797286,0.02177897487972935,0.019636378001552157,0.008379687056261798,0.007559456434432565,0.32154129097214623,0.37121751270299785,0.2710500818798601,0.28796192235420337,2.6928841717621665e-06,2.964413486017392e-06,0.29054789403089254,0.27440311540194384,2.6928841717621665e-06,2.964413486017392e-06,0.014567959099368255,0.017570992906145277,0.03746688338405435,0.033780861023183895,0.000499956173682703,0.013698582686911043,0.37229223908968456,0.3956610362113565,0.009503741686405776,0.008525647989787721,0.00524301400639926,0.004733547847324826
GoL_L128_rho0.35,GoL,128,0.35,50,1000,0.2620002255116979,0.2504505372396173,0.23776340712009258,0.2556698599013463,0.025242872421044837,0.024683348152391482,0.021173509835144433,0.01932261057849194,0.009717516199198362,0.008872929655303174,0.2781140869042633,0.32498527908163466,0.23776340712009258,0.2556698599013463,0.00022551461665965,0.0002512724064749339,0.2620002255116979,0.2504505372396173,0.00022551461665965,0.0002512724064749339,0.02030875248578401,0.024793042975864932,0.032310181670623606,0.029485706812464874,0.00037350165282878933,0.010358222235601122,0.3323633773646192,0.3575209216907984,0.018457315682367414,0.01675908526762382,0.011987733337507578,0.010954481437286612
GoL_L128_rho0.35,GoL,128,0.35,100,1000,0.24276681687996593,0.23975269085124384,0.21716146030224015,0.24125211814669645,0.02784750497572941,0.028132313629040118,0.020743530096052676,0.01955732603527005,0.008533646969525077,0.008050081946385568,0.2610833117330993,0.3151909060181355,0.21716146030224015,0.24125211814669645,0.0005146789736104607,0.0005924618538838411,0.24276681687996593,0.23975269085124384,0.0005146789736104607,0.0005924618538838411,0.0144601307042872,0.01823780923780627,0.03729073812318373,0.03515822866292584,0.0004904661267772781,0.014052564236115783,0.3139573085531653,0.34890947141227624,0.007618961099899457,0.007147125206098837,0.009729471612948903,0.00918539567811294
GoL_L128_rho0.35,GoL,128,0.35,200,1000,0.2604659258174915,0.2564672087586548,0.2277256343154631,0.2522359962478302,0.032104203480810334,0.03233611358541677,0.010378605936944618,0.009756018042318293,0.01623821981037754,0.015272523672597016,0.2702732237672324,0.325315195491924,0.2277256343154631,0.2522359962478302,0.0013632915687007419,0.0015646581907620138,0.2604659258174915,0.2564672087586548,0.0013632915687007419,0.0015646581907620138,0.019482259612899955,0.024498897387159935,0.04157046546795362,0.03907667979007601,0.00046594722404402766,0.01331036763926896,0.3339891099267953,0.37006774181227275,0.01342005591619988,0.01255153153612698,0.011099136775774343,0.010447312348233595
GoL_L64_rho0.20,GoL,64,0.2,1,1000,0.30030880209946087,0.3156674582027612,0.4848169804017243,0.47844112613442413,0.0001460822176670984,0.00014810441919865802,0.0005794035194649494,0.0006165647236607841,0.007007540047720973,0.007305011171403142,0.4873456043143991,0.4980487705368368,0.4848169804017243,0.47844112613442413,0.03989279940825141,0.04753727128440144,0.30030880209946087,0.3156674582027612,0.03989279940825141,0.04753727128440144,0.01664667209412285,0.01665325721622235,0.001160777708253402,0.00196996012136863,2.993344517554508e-05,0.014349490608487891,0.4600105608590259,0.5261327940412,0.006210719470336357,0.006259488229955257,0.0008124403370489697,0.0008006131576407949
GoL_L64_rho0.20,GoL,64,0.2,5,1000,0.21644737485586896,0.22662182916109952,0.38600237527268977,0.37942708104090106,0.012381805261242995,0.012503808087868107,0.009163134945535667,0.009712461109756099,0.02193864856289507,0.022779953500958183,0.3958332299313091,0.402934760894444,0.38600237527268977,0.37942708104090106,0.044373383768756325,0.052668378693930595,0.21644737485586896,0.22662182916109952,0.044373383768756325,0.052668378693930595,0.06379280297539802,0.06356691222692712,0.00793943543807929,0.013421024306691676,1.130918182301599e-05,0.005400060583820587,0.37780075869499974,0.430405747239925,0.00034624947576844534,0.0003475951471245686,0.00044838755783394024,0.00044012137854243516
