sample_id,condition_id,rule,L,rho,live_count,density,components_t0,components_t1,fine_net_1,iso_count
206,GoL_L64_rho0.20,GoL,64,0.2,809,0.197509765625,493,208,-285,174
207,GoL_L64_rho0.20,GoL,64,0.2,875,0.213623046875,514,234,-280,198
208,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,491,202,-289,210
209,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,507,218,-289,219
210,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,534,227,-307,245
211,GoL_L64_rho0.20,GoL,64,0.2,883,0.215576171875,515,220,-295,216
212,GoL_L64_rho0.20,GoL,64,0.2,851,0.207763671875,508,216,-292,212
213,GoL_L64_rho0.20,GoL,64,0.2,816,0.19921875,490,202,-288,189
214,GoL_L64_rho0.20,GoL,64,0.2,839,0.204833984375,489,212,-277,189
215,GoL_L64_rho0.20,GoL,64,0.2,832,0.203125,510,202,-308,218
216,GoL_L64_rho0.20,GoL,64,0.2,826,0.20166015625,506,222,-284,191
217,GoL_L64_rho0.20,GoL,64,0.2,826,0.20166015625,497,209,-288,197
218,GoL_L64_rho0.20,GoL,64,0.2,848,0.20703125,529,216,-313,231
219,GoL_L64_rho0.20,GoL,64,0.2,801,0.195556640625,483,201,-282,188
220,GoL_L64_rho0.20,GoL,64,0.2,853,0.208251953125,489,233,-256,175
221,GoL_L64_rho0.20,GoL,64,0.2,809,0.197509765625,511,217,-294,224
222,GoL_L64_rho0.20,GoL,64,0.2,796,0.1943359375,474,206,-268,171
223,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,511,229,-282,187
224,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,496,220,-276,206
225,GoL_L64_rho0.20,GoL,64,0.2,809,0.197509765625,486,217,-269,188
226,GoL_L64_rho0.20,GoL,64,0.2,841,0.205322265625,492,230,-262,194
227,GoL_L64_rho0.20,GoL,64,0.2,796,0.1943359375,525,213,-312,224
228,GoL_L64_rho0.20,GoL,64,0.2,840,0.205078125,491,225,-266,186
229,GoL_L64_rho0.20,GoL,64,0.2,849,0.207275390625,506,218,-288,201
230,GoL_L64_rho0.20,GoL,64,0.2,847,0.206787109375,514,225,-289,208
231,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,508,207,-301,204
232,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,504,214,-290,204
233,GoL_L64_rho0.20,GoL,64,0.2,880,0.21484375,520,222,-298,215
234,GoL_L64_rho0.20,GoL,64,0.2,834,0.20361328125,525,224,-301,217
235,GoL_L64_rho0.20,GoL,64,0.2,781,0.190673828125,476,199,-277,169
236,GoL_L64_rho0.20,GoL,64,0.2,776,0.189453125,480,182,-298,200
237,GoL_L64_rho0.20,GoL,64,0.2,855,0.208740234375,520,195,-325,210
238,GoL_L64_rho0.20,GoL,64,0.2,838,0.20458984375,520,213,-307,217
239,GoL_L64_rho0.20,GoL,64,0.2,841,0.205322265625,512,227,-285,211
240,GoL_L64_rho0.20,GoL,64,0.2,838,0.20458984375,511,210,-301,195
241,GoL_L64_rho0.20,GoL,64,0.2,833,0.203369140625,506,230,-276,209
242,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,495,212,-283,181
243,GoL_L64_rho0.20,GoL,64,0.2,792,0.193359375,498,204,-294,209
244,GoL_L64_rho0.20,GoL,64,0.2,791,0.193115234375,504,218,-286,186
245,GoL_L64_rho0.20,GoL,64,0.2,781,0.190673828125,491,233,-258,175
246,GoL_L64_rho0.20,GoL,64,0.2,816,0.19921875,502,240,-262,196
247,GoL_L64_rho0.20,GoL,64,0.2,822,0.20068359375,504,224,-280,181
248,GoL_L64_rho0.20,GoL,64,0.2,852,0.2080078125,503,227,-276,181
249,GoL_L64_rho0.20,GoL,64,0.2,852,0.2080078125,461,256,-205,165
250,GoL_L64_rho0.20,GoL,64,0.2,793,0.193603515625,494,193,-301,183
251,GoL_L64_rho0.20,GoL,64,0.2,776,0.189453125,495,222,-273,197
252,GoL_L64_rho0.20,GoL,64,0.2,813,0.198486328125,496,210,-286,204
253,GoL_L64_rho0.20,GoL,64,0.2,853,0.208251953125,492,239,-253,185
254,GoL_L64_rho0.20,GoL,64,0.2,826,0.20166015625,478,208,-270,202
255,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,478,205,-273,176
256,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,478,212,-266,184
257,GoL_L64_rho0.20,GoL,64,0.2,817,0.199462890625,488,210,-278,191
258,GoL_L64_rho0.20,GoL,64,0.2,841,0.205322265625,494,215,-279,196
259,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,488,227,-261,203
260,GoL_L64_rho0.20,GoL,64,0.2,801,0.195556640625,493,214,-279,202
261,GoL_L64_rho0.20,GoL,64,0.2,870,0.21240234375,508,229,-279,206
262,GoL_L64_rho0.20,GoL,64,0.2,794,0.19384765625,511,223,-288,214
263,GoL_L64_rho0.20,GoL,64,0.2,834,0.20361328125,514,223,-291,204
264,GoL_L64_rho0.20,GoL,64,0.2,833,0.203369140625,488,211,-277,169
265,GoL_L64_rho0.20,GoL,64,0.2,845,0.206298828125,502,215,-287,196
266,GoL_L64_rho0.20,GoL,64,0.2,809,0.197509765625,477,234,-243,186
267,GoL_L64_rho0.20,GoL,64,0.2,827,0.201904296875,501,239,-262,185
268,GoL_L64_rho0.20,GoL,64,0.2,785,0.191650390625,489,185,-304,184
269,GoL_L64_rho0.20,GoL,64,0.2,832,0.203125,511,214,-297,217
270,GoL_L64_rho0.20,GoL,64,0.2,811,0.197998046875,518,215,-303,200
271,GoL_L64_rho0.20,GoL,64,0.2,854,0.20849609375,493,225,-268,208
272,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,504,215,-289,218
273,GoL_L64_rho0.20,GoL,64,0.2,770,0.18798828125,493,195,-298,178
274,GoL_L64_rho0.20,GoL,64,0.2,811,0.197998046875,510,220,-290,200
275,GoL_L64_rho0.20,GoL,64,0.2,862,0.21044921875,516,218,-298,195
276,GoL_L64_rho0.20,GoL,64,0.2,871,0.212646484375,505,228,-277,211
277,GoL_L64_rho0.20,GoL,64,0.2,831,0.202880859375,512,208,-304,206
278,GoL_L64_rho0.20,GoL,64,0.2,845,0.206298828125,527,216,-311,230
279,GoL_L64_rho0.20,GoL,64,0.2,848,0.20703125,517,247,-270,220
280,GoL_L64_rho0.20,GoL,64,0.2,814,0.19873046875,478,215,-263,180
281,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,489,204,-285,185
282,GoL_L64_rho0.20,GoL,64,0.2,813,0.198486328125,477,218,-259,160
283,GoL_L64_rho0.20,GoL,64,0.2,816,0.19921875,494,216,-278,214
284,GoL_L64_rho0.20,GoL,64,0.2,828,0.2021484375,512,220,-292,195
285,GoL_L64_rho0.20,GoL,64,0.2,833,0.203369140625,514,215,-299,230
286,GoL_L64_rho0.20,GoL,64,0.2,789,0.192626953125,510,223,-287,223
287,GoL_L64_rho0.20,GoL,64,0.2,847,0.206787109375,511,240,-271,202
288,GoL_L64_rho0.20,GoL,64,0.2,838,0.20458984375,494,224,-270,188
289,GoL_L64_rho0.20,GoL,64,0.2,766,0.18701171875,482,175,-307,185
290,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,504,219,-285,200
291,GoL_L64_rho0.20,GoL,64,0.2,812,0.1982421875,502,225,-277,207
292,GoL_L64_rho0.20,GoL,64,0.2,849,0.207275390625,505,223,-282,215
293,GoL_L64_rho0.20,GoL,64,0.2,782,0.19091796875,500,210,-290,199
294,GoL_L64_rho0.20,GoL,64,0.2,821,0.200439453125,493,219,-274,196
295,GoL_L64_rho0.20,GoL,64,0.2,824,0.201171875,479,208,-271,178
296,GoL_L64_rho0.20,GoL,64,0.2,798,0.19482421875,488,216,-272,199
297,GoL_L64_rho0.20,GoL,64,0.2,825,0.201416015625,507,209,-298,199
298,GoL_L64_rho0.20,GoL,64,0.2,845,0.206298828125,516,238,-278,214
299,GoL_L64_rho0.20,GoL,64,0.2,776,0.189453125,486,182,-304,201
300,GoL_L64_rho0.20,GoL,64,0.2,803,0.196044921875,490,213,-277,188
301,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,495,245,-250,187
302,GoL_L64_rho0.20,GoL,64,0.2,797,0.194580078125,505,206,-299,193
303,GoL_L64_rho0.20,GoL,64,0.2,763,0.186279296875,484,197,-287,199
304,GoL_L64_rho0.20,GoL,64,0.2,807,0.197021484375,466,214,-252,169
305,GoL_L64_rho0.20,GoL,64,0.2,752,0.18359375,481,188,-293,180
306,GoL_L64_rho0.20,GoL,64,0.2,799,0.195068359375,482,201,-281,193
307,GoL_L64_rho0.20,GoL,64,0.2,838,0.20458984375,510,211,-299,214
308,GoL_L64_rho0.20,GoL,64,0.2,852,0.2080078125,509,205,-304,222
309,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,503,230,-273,214
310,GoL_L64_rho0.20,GoL,64,0.2,780,0.1904296875,476,220,-256,181
311,GoL_L64_rho0.20,GoL,64,0.2,806,0.19677734375,489,197,-292,213
312,GoL_L64_rho0.20,GoL,64,0.2,771,0.188232421875,481,209,-272,173
313,GoL_L64_rho0.20,GoL,64,0.2,811,0.197998046875,498,223,-275,189
314,GoL_L64_rho0.20,GoL,64,0.2,793,0.193603515625,509,210,-299,212
315,GoL_L64_rho0.20,GoL,64,0.2,849,0.207275390625,503,212,-291,207
316,GoL_L64_rho0.20,GoL,64,0.2,784,0.19140625,510,199,-311,195
317,GoL_L64_rho0.20,GoL,64,0.2,849,0.207275390625,496,189,-307,212
318,GoL_L64_rho0.20,GoL,64,0.2,836,0.2041015625,503,216,-287,213
319,GoL_L64_rho0.20,GoL,64,0.2,826,0.20166015625,500,228,-272,193
320,GoL_L64_rho0.20,GoL,64,0.2,810,0.19775390625,491,212,-279,202
321,GoL_L64_rho0.20,GoL,64,0.2,790,0.19287109375,476,210,-266,164
